ID,X,Y,residual_log,residual_orig,MAE_log,MAE_orig,y_pred_log,y_pred_orig,Avg_AVGIL,lux,DN,LV
1,114.1578528,22.28223611,0.20960100732571885,17.90922723246588,0.20960100732571885,17.90922723246588,4.395569178662373,81.09077276753412,87.13805389,99.0,3587,10
2,114.157525,22.28215278,-0.7047640993095787,-30.677710117608683,0.7047640993095787,30.677710117608683,4.072059929296053,58.67771011760868,73.03861782,28.0,3884,10
3,114.1576472,22.28196389,0.50265104920733,37.32228988239132,0.50265104920733,37.32228988239132,4.072059929296053,58.67771011760868,73.03861782,96.0,3884,10
4,114.1567611,22.28145278,0.10556807475313068,4.9110202442451225,0.10556807475313068,4.9110202442451225,3.971969369152589,53.08897975575488,69.1513248,58.0,3212,9
5,114.1563861,22.28174444,0.2285216813812614,13.708948763867674,0.2285216813812614,13.708948763867674,4.048144437634794,57.291051236132326,72.09064301,71.0,3619,10
6,114.1563722,22.28175,0.20035080441456543,11.708948763867674,0.20035080441456543,11.708948763867674,4.048144437634794,57.291051236132326,72.09064301,69.0,3619,10
7,114.1557083,22.28124722,1.4175024484416339,123.25977180197637,1.4175024484416339,123.25977180197637,3.682363979382565,39.74022819802364,59.01566795,163.0,3785,10
8,114.1559056,22.28144722,-0.3942423547099474,-13.081499504007631,0.3942423547099474,13.081499504007631,3.613118179578148,37.08149950400763,56.8176283,24.0,3892,10
9,114.1560444,22.281525,0.9194813135751083,54.91850049599237,0.9194813135751083,54.91850049599237,3.613118179578148,37.08149950400763,56.8176283,92.0,3892,10
10,114.1549833,22.283575,0.2685295787835784,13.129831435263803,0.2685295787835784,13.129831435263803,3.825814983438522,45.8701685647362,63.83864766,59.0,1854,7
11,114.1549306,22.28362222,0.4044209409794606,19.956122076638437,0.4044209409794606,19.956122076638437,3.738713785412072,42.04387792336156,60.86587982,62.0,1854,7
12,114.1528028,22.28530278,-0.12335176013448379,-5.069751020280563,0.12335176013448379,5.069751020280563,3.55733896461963,35.06975102028056,55.10573402,30.0,990,5
13,114.1532361,22.28579444,-0.3792851342716843,-12.069751020280563,0.3792851342716843,12.069751020280563,3.55733896461963,35.06975102028056,55.10573402,23.0,3633,10
14,114.1497944,22.28648333,-0.4360220938190609,-8.105058524360178,0.4360220938190609,8.105058524360178,3.0009714512805976,20.105058524360178,40.57290649,12.0,1287,6
15,114.1478111,22.28689444,0.6409927431113127,28.34030849211797,0.6409927431113127,28.34030849211797,3.486141641933779,32.65969150788203,52.99408637,61.0,991,5
16,114.1478111,22.28689444,0.227430424770529,7.34030849211797,0.227430424770529,7.34030849211797,3.486141641933779,32.65969150788203,52.99408637,40.0,991,5
17,114.1698222,22.31377778,0.008392343195645857,-0.6824254199321729,0.008392343195645857,0.6824254199321729,3.62919381653074,37.68242541993217,57.32062508,37.0,2382,8
18,114.1698389,22.3138,0.11727293549030549,6.414057396104404,0.11727293549030549,6.414057396104404,4.08741968390066,59.585942603895596,73.6539299,66.0,2382,8
19,114.1698389,22.31379444,-0.17539667847251428,-10.585942603895596,0.17539667847251428,10.585942603895596,4.08741968390066,59.585942603895596,73.6539299,49.0,2382,8
20,114.1696472,22.31432778,0.26208292777761244,8.452664286908437,0.26208292777761244,8.452664286908437,3.4514891389266955,31.547335713091563,51.99526691,40.0,1387,6
21,114.1697,22.31443056,-0.8293231458791781,-34.585942603895596,0.8293231458791781,34.585942603895596,4.08741968390066,59.585942603895596,73.6539299,25.0,1947,7
22,114.1697222,22.31445278,-0.9663427695319409,-41.70786271781124,0.9663427695319409,41.70786271781124,4.185218594400141,65.70786271781124,77.69349353,24.0,1947,7
23,114.1696083,22.31478889,0.701218436950751,37.8094926934448,0.701218436950751,37.8094926934448,3.642586984902933,38.1905073065552,57.74302902,76.0,1987,7
24,114.1695111,22.31524444,0.688146355383398,36.8094926934448,0.688146355383398,36.8094926934448,3.642586984902933,38.1905073065552,57.74302902,75.0,3106,9
25,114.1695028,22.31523611,0.9625832010851587,60.8094926934448,0.9625832010851587,60.8094926934448,3.642586984902933,38.1905073065552,57.74302902,99.0,3106,9
26,114.1695556,22.31524722,-0.02633551104046994,-2.7078627178112384,0.02633551104046994,2.7078627178112384,4.185218594400141,65.70786271781124,77.69349353,63.0,3106,9
27,114.1695861,22.31526389,0.6158429947337076,54.17776040860029,0.6158429947337076,54.17776040860029,4.171648748048338,64.82223959139971,77.12019424,119.0,3106,9
28,114.1695861,22.31526389,-0.044514363003246515,-3.8222395913997076,0.044514363003246515,3.8222395913997076,4.171648748048338,64.82223959139971,77.12019424,61.0,3106,9
29,114.1700667,22.31531389,-0.4963391402862052,-26.70786271781124,0.4963391402862052,26.70786271781124,4.185218594400141,65.70786271781124,77.69349353,39.0,3977,10
30,114.1700667,22.31531389,-0.35657719791104636,-20.70786271781124,0.35657719791104636,20.70786271781124,4.185218594400141,65.70786271781124,77.69349353,45.0,3977,10
31,114.1700528,22.31531944,-0.14216732656559117,-9.707862717811238,0.14216732656559117,9.707862717811238,4.185218594400141,65.70786271781124,77.69349353,56.0,3977,10
32,114.1700444,22.31543056,0.9641496890019239,104.17776040860029,0.9641496890019239,104.17776040860029,4.171648748048338,64.82223959139971,77.12019424,169.0,3977,10
33,114.170075,22.31546111,0.047858957127768775,2.1777604086002924,0.047858957127768775,2.1777604086002924,4.171648748048338,64.82223959139971,77.12019424,67.0,4039,10
34,114.1700667,22.31546111,0.23507049921591516,16.177760408600292,0.23507049921591516,16.177760408600292,4.171648748048338,64.82223959139971,77.12019424,81.0,3977,10
