Group_Type,Group_Value,Mean_Residual,MAE,N
DN_Level,1325,-0.11827916581993447,0.11827916581993447,1
DN_Level,1335,-0.4138771161380621,0.4138771161380621,1
DN_Level,1336,0.00306975788774011,0.00306975788774011,2
DN_Level,1337,-1.0032398447415467,1.0032398447415467,1
DN_Level,1348,0.01775311392747314,0.01775311392747314,1
DN_Level,1351,0.14894404267679162,0.14894404267679162,1
DN_Level,1354,0.10104471431537768,0.20278875912548566,18
DN_Level,1360,0.801219437204582,0.801219437204582,3
DN_Level,1363,0.2002584561537173,0.2002584561537173,4
DN_Level,1364,0.1781627612226521,0.1781627612226521,7
DN_Level,1368,0.13577873165387233,0.13577873165387233,1
DN_Level,1373,0.13144916350760893,0.13144916350760893,4
DN_Level,1381,0.17157142843741258,0.19527356794092823,21
DN_Level,1387,0.3690928162745841,0.3690928162745841,1
DN_Level,1408,-1.2080439226728954,1.2080439226728954,6
DN_Level,1437,0.15908883076955127,0.15908883076955127,2
DN_Level,1439,0.11327775094488723,0.11327775094488723,1
DN_Level,1449,0.19299776050995288,0.19299776050995288,2
DN_Level,1455,0.23204696077923562,0.23204696077923562,5
DN_Level,1464,0.23622167796339788,0.23622167796339788,1
DN_Level,1480,0.3071864877410662,0.3071864877410662,3
DN_Level,1481,0.3476799696809194,0.3476799696809194,1
DN_Level,1492,0.21558132488554324,0.21558132488554324,5
DN_Level,1498,0.3000836775173841,0.3000836775173841,2
DN_Level,1507,0.27641754675158736,0.27641754675158736,5
DN_Level,1520,0.08547264800424692,0.08547264800424692,1
DN_Level,1528,0.3147851528961412,0.3147851528961412,3
DN_Level,1532,0.1061803906914105,0.1061803906914105,1
DN_Level,1544,0.12613603392749884,0.12613603392749884,1
DN_Level,1551,0.2990544076295234,0.2990544076295234,1
DN_Level,1563,0.29093936067280923,0.29093936067280923,2
DN_Level,1585,0.2762221915155272,0.2762221915155272,2
DN_Level,1588,0.27423113885137473,0.27423113885137473,1
DN_Level,1609,0.22775006977257184,0.22775006977257184,2
DN_Level,1625,0.20698623446788655,0.20698623446788655,1
DN_Level,1638,0.18813085416973907,0.18813085416973907,2
DN_Level,1655,0.15598085323854138,0.15598085323854138,4
DN_Level,1667,0.13034375361925044,0.13034375361925044,1
DN_Level,1686,0.11109306594414026,0.11109306594414026,1
DN_Level,1691,0.10060394556892316,0.10060394556892316,1
DN_Level,1694,0.09131174065873182,0.09131174065873182,1
DN_Level,1710,0.007032624861555803,0.13095070929797342,5
DN_Level,1735,0.1306978740760909,0.1306978740760909,2
DN_Level,1738,-0.28617231987798153,0.28617231987798153,1
DN_Level,1742,0.19192437937114448,0.19192437937114448,3
DN_Level,1757,0.4521162254054836,0.4521162254054836,6
DN_Level,1760,0.06830704892613237,0.06830704892613237,1
DN_Level,1781,0.15916164151656514,0.18012020844176746,5
DN_Level,1791,0.31818523261607856,0.31818523261607856,1
DN_Level,1793,0.26541787914192283,0.26541787914192283,2
DN_Level,1811,0.2732658090762725,0.2732658090762725,2
DN_Level,1847,0.25253861495603447,0.25253861495603447,9
DN_Level,1854,0.4686949107452092,0.4686949107452092,2
DN_Level,1901,0.34894458947842644,0.34894458947842644,1
DN_Level,1926,0.33518625362438037,0.33518625362438037,1
DN_Level,1941,0.4125388457744483,0.4125388457744483,1
DN_Level,1947,-0.4630990145069793,0.4630990145069793,2
DN_Level,1951,0.36436635328223366,0.36436635328223366,2
DN_Level,1958,0.11987061865995818,0.3445813189816177,4
DN_Level,1987,0.6208048872537555,0.6208048872537555,1
DN_Level,1995,0.3156654915267896,0.3156654915267896,2
DN_Level,1996,0.33268342871270384,0.33268342871270384,1
DN_Level,2004,0.24133577983406462,0.24133577983406462,4
DN_Level,2009,0.3762778325773404,0.3762778325773404,1
DN_Level,2019,0.44982992358012464,0.44982992358012464,2
DN_Level,2073,0.3465240742126152,0.3465240742126152,4
DN_Level,2109,0.2396000591127203,0.2396000591127203,1
DN_Level,2110,0.33908947100563236,0.33908947100563236,5
DN_Level,2134,0.42134605507283673,0.42134605507283673,1
DN_Level,2146,0.3034362819463219,0.3034362819463219,2
DN_Level,2147,0.2207941400460003,0.2207941400460003,1
DN_Level,2163,-2.290115279681823,2.290115279681823,2
DN_Level,2214,-1.9649308385059805,1.9649308385059805,14
DN_Level,2250,0.17144634642389267,0.17144634642389267,1
DN_Level,2252,-0.03801834557691989,0.25640814884226243,7
DN_Level,2281,-1.5090667002871503,1.5090667002871503,2
DN_Level,2311,0.17673044961987508,0.2558650160989197,24
DN_Level,2334,0.16793663525718827,0.16793663525718827,1
DN_Level,2347,0.16208704558133036,0.16208704558133036,1
DN_Level,2382,-0.04486878807349992,0.3787937198076821,6
DN_Level,2385,0.11008081293794536,0.11008081293794536,6
DN_Level,2386,0.30379534470414526,0.30379534470414526,1
DN_Level,2414,0.18287450278329054,0.18287450278329054,2
DN_Level,2434,0.17418498228760804,0.17418498228760804,2
DN_Level,2456,0.2733424043222872,0.2733424043222872,7
DN_Level,2502,0.1451654522580874,0.1451654522580874,2
DN_Level,2509,-1.096927651206676,1.096927651206676,5
DN_Level,2538,0.2819257743158836,0.2819257743158836,2
DN_Level,2563,0.27859548929555,0.27859548929555,2
DN_Level,2613,0.2858365325529424,0.2858365325529424,2
DN_Level,2641,0.25664379971827445,0.36925680826085017,15
DN_Level,2656,-0.09679066753593046,0.09679066753593046,1
DN_Level,2657,0.4077212651674902,0.4077212651674902,2
DN_Level,2688,-0.10940404242861446,0.10940404242861446,1
DN_Level,2758,0.21094907033099894,0.5415854657216816,6
DN_Level,2770,-0.8273038215305241,0.8273038215305241,3
DN_Level,2808,-0.32215668390378766,0.32215668390378766,6
DN_Level,2824,-0.5844600811742815,0.5844600811742815,2
DN_Level,2851,0.29121402881412983,0.29121402881412983,1
DN_Level,2878,0.09268390237851687,0.2823647488743252,3
DN_Level,2880,0.2805548228630794,0.2805548228630794,1
DN_Level,2887,0.09344925527829462,0.18454873196864474,2
DN_Level,2908,-0.29544325823359774,0.29544325823359774,1
DN_Level,2941,0.25847965446159193,0.25847965446159193,1
DN_Level,3092,-1.1519332361486532,1.1519332361486532,9
DN_Level,3106,0.20842028177785962,0.24878310698746375,5
DN_Level,3129,-0.8000355663574736,0.8000355663574736,1
DN_Level,3139,-0.16154244344262558,0.16154244344262558,1
DN_Level,3212,-0.1512703607546193,0.1512703607546193,1
DN_Level,3245,-0.21422219205893978,0.21422219205893978,1
DN_Level,3263,-0.2200485574388198,0.2200485574388198,1
DN_Level,3335,-0.24303707059922441,0.24303707059922441,2
DN_Level,3382,-0.12855942832742828,0.22131729172499393,5
DN_Level,3402,-0.18529046554390938,0.3329704888678909,6
DN_Level,3518,-0.21378165934854998,0.21378165934854998,3
DN_Level,3533,-0.2182631564834061,0.2182631564834061,1
DN_Level,3579,-0.23188874021129458,0.23188874021129458,1
DN_Level,3587,0.07620624192971803,0.13122871322585716,6
DN_Level,3613,0.1359147406301533,0.1359147406301533,1
DN_Level,3619,-0.002250645338595553,0.09573777139820677,26
DN_Level,3633,-1.1804823741514263,1.1804823741514263,1
DN_Level,3635,0.13504468925083835,0.13504468925083835,4
DN_Level,3647,0.03186175665370605,0.03186175665370605,1
DN_Level,3657,-0.15383086887961817,0.5592589538974799,6
DN_Level,3705,-0.16756618633292852,0.5546805147463765,18
DN_Level,3785,0.25576601387451126,0.2581858087482227,6
DN_Level,3826,0.12850638669655545,0.1409116231961054,6
DN_Level,3834,0.09560234304493687,0.09560234304493687,2
DN_Level,3852,0.1949297410812285,0.1949297410812285,3
DN_Level,3884,0.1025031397910113,0.5409291473804443,5
DN_Level,3892,0.23328207588713057,0.40645300705659704,14
DN_Level,3897,0.3633658748147157,0.3633658748147157,3
DN_Level,3934,0.5030643620786304,0.6294261463584365,16
DN_Level,3940,-0.8886355288199081,0.8886355288199081,1
DN_Level,3953,0.3483372171185808,0.3483372171185808,2
DN_Level,3977,-0.3350468037725237,0.4959010855068164,14
DN_Level,3984,0.20490146626082772,0.3298496232462025,2
DN_Level,3993,0.3377322117508976,0.3377322117508976,1
DN_Level,4000,-0.41685201675546857,0.41685201675546857,1
DN_Level,4008,0.5194919977028812,0.5503453306665396,6
DN_Level,4034,-0.3913381709694881,0.4338586300808352,3
DN_Level,4039,-0.4352959170153481,0.4352959170153481,2
DN_Level,4041,0.5769321210359749,0.5769321210359749,3
DN_Level,4043,0.5668442356623138,0.5668442356623138,6
DN_Level,4052,0.6486986504568772,0.6486986504568772,2
DN_Level,4058,0.3174142225406946,0.3174142225406946,3
DN_Level,4061,-0.6833045800241285,0.6833045800241285,7
DN_Level,4066,0.6645220357168968,0.6645220357168968,1
DN_Level,4068,0.7208375171619128,0.7208375171619128,1
DN_Level,4072,-0.19781822923394277,0.19781822923394277,5
DN_Level,4074,-0.7588681046772937,0.7588681046772937,6
DN_Level,4083,0.8217685403674855,0.8217685403674855,1
DN_Level,4088,0.5344543482138313,0.5344543482138313,1
DN_Level,4095,0.43243595429727094,0.43243595429727094,14
POI_Type_LV,3,-0.15129128822942062,0.19528473491401155,4
POI_Type_LV,4,-0.16355345702406116,0.459208108050487,62
POI_Type_LV,5,0.047390830050913685,0.25340261311858625,221
POI_Type_LV,6,0.06248623604914338,0.23396955841844522,173
POI_Type_LV,7,0.17773861259723672,0.3408056233948406,81
POI_Type_LV,8,-0.38445348063230234,0.6548776021836129,65
POI_Type_LV,9,-0.1275774282266658,0.4723667754869198,86
POI_Type_LV,10,0.05057933329757885,0.40290057517741656,218
