ID,X,Y,residual_log,residual_orig,MAE_log,MAE_orig,y_pred_log,y_pred_orig,DN,lux,DN,LV
1,114.1578528,22.28223611,0.2600557985111758,21.899143652665884,0.2600557985111758,21.899143652665884,4.345114387476916,77.10085634733412,3587,99.0,3587,10
2,114.157525,22.28215278,-1.0616091718297738,-55.839562460598074,1.0616091718297738,55.839562460598074,4.428905001816248,83.83956246059807,3884,28.0,3884,10
3,114.1576472,22.28196389,0.1458059766871349,12.160437539401926,0.1458059766871349,12.160437539401926,4.428905001816248,83.83956246059807,3884,96.0,3884,10
4,114.1567611,22.28145278,-0.1512703607546193,-10.63535662541571,0.1512703607546193,10.63535662541571,4.228807804660339,68.63535662541571,3212,58.0,3212,9
5,114.1563861,22.28174444,-0.07780325456394799,-6.825518102387264,0.07780325456394799,6.825518102387264,4.354469373580003,77.82551810238726,3619,71.0,3619,10
6,114.1563722,22.28175,-0.10597413153064394,-8.825518102387264,0.10597413153064394,8.825518102387264,4.354469373580003,77.82551810238726,3619,69.0,3619,10
7,114.1557083,22.28124722,0.6981578885306252,81.40985037580758,0.6981578885306252,81.40985037580758,4.4017085392935735,81.59014962419242,3785,163.0,3785,10
8,114.1559056,22.28144722,-1.2121965181862655,-60.02146845668989,1.2121965181862655,60.02146845668989,4.431072343054466,84.02146845668989,3892,24.0,3892,10
9,114.1560444,22.281525,0.10152715009879021,7.978531543310112,0.10152715009879021,7.978531543310112,4.431072343054466,84.02146845668989,3892,92.0,3892,10
10,114.1549833,22.283575,0.4442998286604931,20.523612803627614,0.4442998286604931,20.523612803627614,3.6500447335616073,38.476387196372386,1854,59.0,1854,7
11,114.1549306,22.28362222,0.49308999282992527,23.523612803627614,0.49308999282992527,23.523612803627614,3.6500447335616073,38.476387196372386,1854,62.0,1854,7
12,114.1528028,22.28530278,0.4444701045877739,10.123917988328344,0.4444701045877739,10.123917988328344,2.9895170998973724,19.876082011671656,990,30.0,990,5
13,114.1532361,22.28579444,-1.1804823741514263,-55.142665781604194,1.1804823741514263,55.142665781604194,4.358536204499372,78.1426657816042,3633,23.0,3633,10
14,114.1497944,22.28648333,-0.7007489337440478,-14.198398716424947,0.7007489337440478,14.198398716424947,3.2656982912055845,26.198398716424947,1287,12.0,1287,6
15,114.1478111,22.28689444,1.1365546543083784,41.102785824761625,1.1365546543083784,41.102785824761625,2.9905797307367132,19.89721417523837,991,61.0,991,5
16,114.1478111,22.28689444,0.7229923359675947,20.10278582476163,0.7229923359675947,20.10278582476163,2.9905797307367132,19.89721417523837,991,40.0,991,5
17,114.1698222,22.31377778,-0.2763591590099592,-13.096208106845623,0.2763591590099592,13.096208106845623,3.913945318736345,50.09620810684562,2382,37.0,2382,8
18,114.1698389,22.3138,0.29074730065462084,15.903791893154377,0.29074730065462084,15.903791893154377,3.913945318736345,50.09620810684562,2382,66.0,2382,8
19,114.1698389,22.31379444,-0.0019223133081989197,-1.0962081068456229,0.0019223133081989197,1.0962081068456229,3.913945318736345,50.09620810684562,2382,49.0,2382,8
20,114.1696472,22.31432778,0.3690928162745841,11.654189246192967,0.3690928162745841,11.654189246192967,3.344479250429724,28.345810753807033,1387,40.0,1387,6
21,114.1697,22.31443056,-0.44348865793033854,-15.511472108991974,0.44348865793033854,15.511472108991974,3.7015851959518207,40.511472108991974,1947,25.0,1947,7
22,114.1697222,22.31445278,-0.4827093710836201,-16.511472108991974,0.4827093710836201,16.511472108991974,3.7015851959518207,40.511472108991974,1947,24.0,1947,7
23,114.1696083,22.31478889,0.6208048872537555,34.611604707233504,0.6208048872537555,34.611604707233504,3.7230005345999286,41.388395292766496,1987,76.0,1987,7
24,114.1695111,22.31524444,0.13727107457194432,8.748224420022922,0.13727107457194432,8.748224420022922,4.193462265714387,66.25177557997708,3106,75.0,3106,9
25,114.1695028,22.31523611,0.41170792027370506,32.74822442002292,0.41170792027370506,32.74822442002292,4.193462265714387,66.25177557997708,3106,99.0,3106,9
26,114.1695556,22.31524722,-0.03457918235471524,-3.2517755799770782,0.03457918235471524,3.2517755799770782,4.193462265714387,66.25177557997708,3106,63.0,3106,9
27,114.1695861,22.31526389,0.5940294770676591,52.74822442002292,0.5940294770676591,52.74822442002292,4.193462265714387,66.25177557997708,3106,119.0,3106,9
28,114.1695861,22.31526389,-0.06632788066929507,-5.251775579977078,0.06632788066929507,5.251775579977078,4.193462265714387,66.25177557997708,3106,61.0,3106,9
29,114.1700667,22.31531389,-0.7649496783166261,-46.95544945446399,0.7649496783166261,46.95544945446399,4.453829132430562,85.95544945446399,3977,39.0,3977,10
30,114.1700667,22.31531389,-0.6251877359414673,-40.95544945446399,0.6251877359414673,40.95544945446399,4.453829132430562,85.95544945446399,3977,45.0,3977,10
31,114.1700528,22.31531944,-0.41077786459601207,-29.955449454463988,0.41077786459601207,29.955449454463988,4.453829132430562,85.95544945446399,3977,56.0,3977,10
32,114.1700444,22.31543056,0.6819693046196997,83.04455054553601,0.6819693046196997,83.04455054553601,4.453829132430562,85.95544945446399,3977,169.0,3977,10
33,114.170075,22.31546111,-0.2506158652823238,-20.367518390731917,0.2506158652823238,20.367518390731917,4.470123570458431,87.36751839073192,4039,67.0,4039,10
34,114.1700667,22.31546111,-0.047109885166308985,-4.955449454463988,0.047109885166308985,4.955449454463988,4.453829132430562,85.95544945446399,3977,81.0,3977,10
35,114.1690972,22.31516389,-0.026199648050531543,-2.2211102913533267,0.026199648050531543,2.2211102913533267,3.8548410445396266,47.22111029135333,2252,45.0,2252,8
